Episode,Reward
1,0
2,3
3,1
4,1
5,1
6,0
7,3
8,1
9,2
10,2
11,2
12,1
13,0
14,0
15,1
16,2
17,1
18,1
19,0
20,0
21,2
22,2
23,0
24,2
25,0
26,2
27,2
28,1
29,2
30,2
31,1
32,2
33,1
34,1
35,1
36,2
37,2
38,1
39,1
40,3
41,2
42,1
43,0
44,1
45,1
46,2
47,1
48,2
49,1
50,2
51,1
52,2
53,2
54,2
55,1
56,3
57,2
58,1
59,2
60,1
61,1
62,1
63,1
64,1
65,0
66,0
67,1
68,1
69,1
70,1
71,0
72,2
73,1
74,0
75,2
76,2
77,1
78,1
79,3
80,1
81,1
82,2
83,3
84,2
85,2
86,1
87,1
88,2
89,2
90,2
91,2
92,1
93,1
94,1
95,0
96,2
97,0
98,0
99,2
100,1
101,3
102,2
103,2
104,2
105,1
106,1
107,2
108,1
109,2
110,3
111,1
112,1
113,0
114,3
115,2
116,2
117,2
118,1
119,2
120,3
121,1
122,3
123,1
124,3
125,2
126,2
127,0
128,1
129,2
130,2
131,2
132,3
133,2
134,2
135,2
136,1
137,2
138,2
139,2
140,1
141,2
142,1
143,3
144,2
145,3
146,1
147,3
148,3
149,1
150,0
151,1
152,1
153,1
154,2
155,3
156,1
157,1
158,3
159,1
160,1
161,2
162,2
163,3
164,2
165,2
166,2
167,3
168,1
169,1
170,3
171,3
172,0
173,0
174,0
175,2
176,0
177,3
178,1
179,2
180,1
181,2
182,2
183,2
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,2
194,2
195,2
196,3
197,0
198,3
199,2
200,2
201,2
202,2
203,3
204,1
205,3
206,2
207,3
208,3
209,3
210,3
211,3
212,2
213,2
214,0
215,3
216,2
217,2
218,2
219,3
220,3
221,2
222,3
223,1
224,2
225,2
226,2
227,3
228,3
229,3
230,1
231,2
232,3
233,2
234,2
235,2
236,2
237,2
238,3
239,2
240,1
241,3
242,3
243,2
244,1
245,3
246,2
247,3
248,2
249,3
250,0
251,2
252,3
253,1
254,1
255,1
256,3
257,3
258,1
259,3
260,1
261,3
262,2
263,1
264,1
265,3
266,1
267,2
268,2
269,2
270,1
271,3
272,3
273,3
274,1
275,1
276,2
277,1
278,2
279,3
280,3
281,3
282,1
283,2
284,3
285,3
286,3
287,3
288,3
289,2
290,2
291,2
292,0
293,2
294,2
295,2
296,3
297,3
298,3
299,1
300,3
301,2
302,0
303,2
304,0
305,3
306,2
307,2
308,2
309,2
310,1
311,1
312,3
313,2
314,2
315,3
316,3
317,1
318,2
319,3
320,3
321,2
322,2
323,2
324,3
325,3
326,3
327,2
328,3
329,3
330,3
331,2
332,2
333,3
334,2
335,0
336,2
337,3
338,3
339,2
340,3
341,0
342,3
343,2
344,1
345,0
346,0
347,3
348,2
349,2
350,3
351,3
352,2
353,3
354,2
355,3
356,3
357,2
358,3
359,3
360,3
361,3
362,3
363,2
364,3
365,3
366,2
367,2
368,1
369,3
370,1
371,2
372,2
373,3
374,3
375,3
376,2
377,1
378,1
379,3
380,3
381,3
382,3
383,3
384,2
385,3
386,2
387,1
388,3
389,2
390,3
391,3
392,2
393,3
394,1
395,3
396,2
397,3
398,2
399,2
400,3
401,2
402,3
403,3
404,3
405,2
406,1
407,2
408,2
409,2
410,2
411,3
412,2
413,2
414,2
415,0
416,1
417,3
418,3
419,1
420,2
421,2
422,3
423,3
424,1
425,3
426,2
427,2
428,2
429,3
430,3
431,1
432,2
433,2
434,3
435,1
436,1
437,3
438,2
439,1
440,3
441,1
442,1
443,2
444,0
445,3
446,2
447,3
448,3
449,3
450,2
451,3
452,2
453,3
454,3
455,2
456,3
457,2
458,1
459,1
460,2
461,3
462,1
463,2
464,2
465,2
466,2
467,3
468,2
469,1
470,3
471,3
472,1
473,3
474,1
475,2
476,3
477,3
478,3
479,2
480,3
481,1
482,2
483,2
484,3
485,3
486,1
487,3
488,2
489,2
490,3
491,3
492,3
493,2
494,1
495,2
496,2
497,3
498,3
499,3
500,2
