Episode,AgentReward,P1Score,P2Score,P3Score,P4Score
1,32.0,32.0,26,9.0,26.0
2,22.0,22.0,32.0,20.0,19
3,9.0,9.0,32,20.0,32.0
4,32.0,32.0,9.0,35.0,17
5,22.0,22.0,22.0,32.0,17
6,32.0,32.0,20.0,19,22.0
7,9.0,9.0,23,32.0,29.0
8,32,32,20.0,32.0,9.0
9,6,6,35.0,20.0,32.0
10,16,16,32.0,10.0,35.0
11,19.0,19.0,32.0,10.0,32
12,22.0,22.0,23.0,32.0,16
13,19.0,19.0,22.0,20,32.0
14,9.0,9.0,35.0,17,32.0
15,32.0,32.0,29.0,10.0,22
16,29.0,29.0,20.0,12.0,32
17,16,16,13.0,35.0,29.0
18,22.0,22.0,32.0,17,22.0
19,22.0,22.0,22.0,32.0,17
20,22.0,22.0,29,19.0,23.0
21,19.0,19.0,22.0,23.0,29
22,35.0,35.0,29.0,17,12.0
23,32,32,20.0,32.0,9.0
24,12.0,12.0,32,29.0,20.0
25,9.0,9.0,35.0,20.0,29
26,32.0,32.0,17,22.0,22.0
27,26,26,19.0,13.0,35.0
28,19.0,19.0,22.0,20,32.0
29,32.0,32.0,19.0,23.0,19
30,32.0,32.0,26,10.0,25.0
31,12.0,12.0,35.0,26,20.0
32,32.0,32.0,19.0,19,23.0
33,32.0,32.0,16,23.0,22.0
34,35.0,35.0,19.0,32.0,7
35,32.0,32.0,6,35.0,20.0
36,16,16,22.0,23.0,32.0
37,6,6,35.0,20.0,32.0
38,22.0,22.0,32.0,16,23.0
39,32.0,32.0,29.0,10.0,22
40,19.0,19.0,22.0,23.0,29
41,22.0,22.0,32.0,19.0,20
42,19.0,19.0,22.0,20,32.0
43,16,16,22.0,23.0,32.0
44,22.0,22.0,32.0,20.0,19
45,19,19,23.0,32.0,19.0
46,29.0,29.0,10.0,22,32.0
47,35.0,35.0,29.0,19.0,10
48,29,29,19.0,23.0,22.0
49,22.0,22.0,22.0,32.0,17
50,32.0,32.0,19.0,23.0,19
51,32.0,32.0,6,35.0,20.0
52,22.0,22.0,32.0,20.0,19
53,32.0,32.0,26,9.0,26.0
54,32.0,32.0,7,35.0,19.0
55,6,6,35.0,20.0,32.0
56,19.0,19.0,19,23.0,32.0
57,19.0,19.0,22.0,23.0,29
58,32.0,32.0,17,22.0,22.0
59,22.0,22.0,29,20.0,22.0
60,25.0,25.0,32.0,26,10.0
61,19.0,19.0,13.0,32,29.0
62,19.0,19.0,19,23.0,32.0
63,12.0,12.0,35.0,26,20.0
64,19.0,19.0,29,10.0,35.0
65,32.0,32.0,19.0,22.0,20
66,9.0,9.0,35.0,20.0,29
67,32.0,32.0,29.0,9.0,23
68,19,19,32.0,20.0,22.0
